Tabela 1 - Distribuição da produção de petróleo e gás natural por bacia,
Bacia Petróleo (bbl/d) Gás Natural (Mm3/d) Produção Total (boe/d),No Campos produtores
Santos 1.303.205 63.338 1.701.588,15
Campos 1.191.513 22.813 1.335.002,40
Solimões 19.449 14.943 113.440,7
Potiguar 41.372 980 47.535,84
Recôncavo 28.170 2.137 41.613,82
Espírito Santo 24.754 1.675 35.290,38
Sergipe 15.630 2.040 28.459,21
Camamu 235 2.567 16.384,2
Alagoas 2.600 1.213 10.228,11
Parnaíba 24 1.407 8.872,4
Ceará 3.972 63 4.372,4
Tucano Sul 0 20 129,5
Total Geral 2.630.926 113.197 3.342.911,313
Municípios,Comunidades,Localidades,Pessoas,Famílias
Campos dos Goytacazes,7,29,1.650,589
Macaé,1,5,820,295
São Francisco de Itabapoana,4,31,3.048,1.018
São João da Barra,5,28,1.273,482
Arraial do Cabo,5,12,1.079,384
Cabo Frio,7,23,1.770,560
Quissamã,3,16,442,150
Total,32,144,10.082,3.478
"",Sexo,,
Município,,,Total
"",Masculino,Feminino,
Campos dos Goytacazes,"56,3%","43,7%","100,0%"
Macaé,"92,5%","7,5%","100,0%"
São Francisco do Itabapoana,"64,2%","35,8%","100,0%"
São João da Barra,"84,2%","15,8%","100,0%"
Arraial do Cabo,"84,5%","15,5%","100,0%"
Cabo Frio,"79,6%","20,4%","100,0%"
Quissamã,"77,1%","22,9%","100,0%"
Total,"72,3%","27,7%","100,0%"
Tabela 5 - Percentual de pescadores camaradas por município
Local Pescador(a) (camarada) (%)
"Campos dos Goytacazes 51,5"
"Macaé 58,8"
"São Francisco do Itabapoana 43,8"
"São João da Barra 55,3"
"Arraial do Cabo 80,4"
"Cabo Frio 50,0"
"Quissamã 64,4"
"Bacia de Campos 53,3"
Tabela 6 - Motivos para escolher a profissão
Motivos percentual (%)
"Tradição Familiar 29,3"
"Falta de outro emprego 27,9"
"Porque gosta 17,3"
"Bom rendimento 9,3"
"Ajudar a família 8,9"
"Não sabe fazer outra coisa 3,7"
"Pouco estudo 3,5"
"Problemas de Saúde 0,2"
"Outros motivos 0,0"
"Total 100,0"
Pequeno – menor ou igual a 8m,500---------2000,"1,25",338,423
Médio - entre 8 e 12m,2000--------6000,"4,00",78,312
Grande – maior que 12m,6000----------20.000,"13,00",21,273
Total,,,437,1.008
Pequeno – menor ou igual a 8m,500---------2000,"1,25",28,35
Médio - entre 8 e 12m,2000--------6000,"4,00",134,536
Grande – maior que 12m,6000----------20.000,"13,00",88,1.144
Total,,,250,1.715
Pequeno – menor ou igual a 8m,500---------2000,"1,25",454,568
Médio - entre 8 e 12m,2000--------6000,"4,00",263,1.052
Grande – maior que 12m,6000----------20.000,"13,00",67,871
Total,,,784,2.491
Pequeno – menor ou igual a 8m,500---------2000,"1,25",167,209
Médio - entre 8 e 12m,2000--------6000,"4,00",113,452
Grande – maior que 12m,6000----------20.000,"13,00",46,598
Total,,,326,1.259
Pequeno – menor ou igual a 8m,500---------2000,"1,25",219,274
Médio - entre 8 e 12m,2000--------6000,"4,00",90,360
Grande – maior que 12m,6000----------20.000,"13,00",8,104
Total,,,317,738
Pequeno – menor ou igual a 8m,500---------2000,"1,25",219,274
Médio - entre 8 e 12m,2000--------6000,"4,00",110,440
Grande – maior que 12m,6000----------20.000,"13,00",52,676
Total,,,381,1.390
Pequeno – menor ou igual a 8m,500---------2000,"1,25",92,115
Médio - entre 8 e 12m,2000--------6000,"4,00",21,84
Grande – maior que 12m,6000----------20.000,"13,00",11,143
Total,,,124,342
Tabela 8 - Comunidades de Campos dos Goytacazes
Município de Campos dos Goytacazes
Comunidade Pessoas Famílias Pescadores
Coroa Grande 57 23 33
Farol de São Tomé 849 305 455
Lagoa de Cima 185 67 92
Parque Prazeres 118 42 55
Ponta Grossa dos Fidalgos 238 91 111
Sant'Ana 66 22 27
Tocos 137 39 51
Total 1650 589 824
"",Município de Macaé,
Comunidade,Pessoas Famílias,Pescadores
Barra de Macaé,820 295,320
Total,820 295,320
Município de São Francisco de Itabapoana
Comunidade Pessoas Famílias Pescadores
Barra de Itabapoana 973 315 393
Gargaú 1207 414 577
Guaxindiba 622 209 256
Lagoa Feia 246 80 125
Total 3048 1018 1351
"",Município de São João da Barra,
Comunidade,Pessoas Famílias,Pescadores
Açú,274 115,127
Atafona,786 277,310
Barcelos,25 14,14
Grussaí,45 17,19
São João da Barra,143 59,62
Total,1273 482,532
"",Município de Arraial do Cabo,
Comunidade,Pessoas Famílias,Pescadores
Figueira,220 79,91
Monte Alto,60 25,27
Praia dos Anjos,276 96,111
Praia Grande,398 140,158
Prainha,125 44,51
Total,1079 384,438
"",Município de Cabo Frio,
Comunidade,Pessoas Famílias,Pescadores
Botafogo,22 8,8
Centro (Cabo Frio),524 164,182
Gamboa,217 70,85
Jacaré,118 41,42
Jardim Peró,42 16,16
Praia do Siqueira,686 219,289
Tamoios,161 42,56
Total,1770 560,678
"",Município de Quissamã,
Comunidade,Pessoas Famílias,Pescadores
Barra do Furado,254 81,105
Beira de Lagoa,30 12,17
Centro (Quissamã),158 57,66
Total,442 150,188
